product_id,similar_product_ids
111926408,110580167;106410638;111131421;104974422;103170623
112525737,108458589;112472338;112273904;111891293;110879246
105444977,110966361;108256117;103267994;113809073;106158279
111924521,112368227;110580167;106227983;111935247;111891293
108458589,112525737;112472338;112273904;111891293;110879246
110724587,110580167;111926408;109988857;112343975;111374452
111374452,111916277;106394213;112343975;102696971;110724587
102696971,111087068;105016447;106720657;103267994;104544389
113682155,108747020;110580167;103170623;106394213;111926058
112343975,112472338;110879246;107499479;110814159;102696971
106158279,107499479;110814159;13171580;110966361;114081140
112445887,111793979;104974422;107499479;105016447;106231674
104974422,107499479;112625366;105016447;112445887;104544389
106394213,111719964;111916277;59061055;109733924;61813409
111087070,106394213;109831109;112525737;93256733;111237792
110814159,112472338;107499479;102696971;106720657;109831109
111051124,105465877;110954577;111926408;103170623;109733924
111950715,111719964;111374484;13171580;114081140;110081737
107499479,111719964;103412036;104974422;111793979;112625366
110966361,112368227;111891293;111496675;111935247;111374602
104636801,114293226;113925039;106720657;93943053;106660557
114081140,111719964;110422188;110422188;111924406;111924406
108940913,112445887;108256117;111077217;93943053;111926408
104032530,106394213;108303461;112445887;112525737;114079485
112472338,112273904;111891293;103412036;112625366;110879246
112586307,106804599;111935247;110814159;114081140;110294183
11975124,111131421;102696971;111374484;106720657;111924521
104544389,110422188;110422188;106720657;107499479;111374465
104556167,110954577;106231674;103170623;111793979;111077217
106227983,110580167;112368227;105465877;111891293;110422188
112193587,110954577;105016447;103412036;111793979;102697060
105994490,104040586;105016447;112445887;11132898;111077201
104040586,110954577;113925039;111131421;108256149;106231674
102361431,105942761;105942761;114293226;111131421;104636801
111374602,102697060;110081737;106843567;108747020;107497280
104021431,107499479;111793979;102696971;111926058;102361431
111719964,106657391;106394213;112625366;59061055;107499479
107497280,108747020;111891293;108188134;111924406;106843567
111793979,111087068;112625366;107499479;105016447;111926058
103412036,110580167;112472338;107499479;112625366;111131421
110922970,110954577;109988857;108747020;111924406;111924406
109831109,110215554;61813409;113809073;111926058;110814159
109224475,109831109;111950715;103267983;84168820;114081140
113809073,110580167;112472338;109831109;105994490;110081737
111496675,105016447;110966361;103267994;108303461;108303461
107524146,106394213;59061055;109733924;111719964;61813409
111935247,112368227;110294183;111924521;110966361;106720657
109988857,103412036;106227983;110580167;105465877;111924521
110580167,103412036;111131421;106227983;105016447;111926408
106410638,111131421;111924406;111924406;111926408;114293226
114168007,110954577;104826776;104826776;112193587;105016447
93943053,106660557;106720657;114293226;109831109;110215554
110081737,108188134;104826776;104826776;114079485;111950715
106231674,110954577;110580167;111924406;111924406;105016447
107286759,110954577;109013316;109013316;111374602;103170623
110954577,109013316;109013316;106657391;111924406;111924406
105463143,110954577;103170623;108747020;103518730;103518730
104270946,106720657;103412036;114293226;111926058;105016447
105016447,110580167;111793979;111496675;102696971;106231674
103170623,110954577;111916277;108747020;106394213;114293226
111131421,110580167;105465877;103412036;111916277;106410638
111374491,111077201;102696971;103267994;110422188;110422188
106923911,111077217;108256117;103267983;113809073;110724587
59061055,106394213;61813409;109733924;111719964;113925039
114047937,110580167;110954577;106231674;110966361;112472338
111077217,110580167;111087068;113925039;111950715;106394213
61813409,59061055;109733924;106394213;111719964;106660557
113925039,106394213;59061055;114293226;111131421;61813409
21867537,111926408;108256117;111926058;110879246;110215554
113698088,111237792;107524146;93256733;109733924;108747020
111950705,108940594;93256733;110915627;111087070;105465877
112051678,111891293;107497280;108747020;110879246;105942761
108256149,113925039;111077217;106660557;104040586;106231674
113802187,111496675;108256117;102696971;103267983;103267994
108747020,110954577;107497280;111891293;102697060;113682155
11132898,104826776;104826776;110954577;108188134;102697060
114079485,104826776;104826776;109013316;109013316;102697060
111261839,111924521;106843567;106843567;112525737;108458589
110933732,110954577;108440763;109988857;109013316;103170623
106720657,103412036;110422188;110294183;114293226;104544389
108188134,106227983;112368227;110580167;110081737;107497280
111412592,110294183;105016447;110422188;110422188;104826776
110294183,109013316;109013316;110422188;110422188;104826776
103267983,107499479;104544389;102696971;102697060;111926408
114293226,110422188;110422188;111926058;106410638;103170623
110915627,111916277;108747020;112273904;103170623;113682155
108440763,110294183;110422188;110422188;104826776;104826776
102697060,109013316;109013316;110954577;114079485;108747020
38871782,84168820;112625366;109224475;104021431;108256117
110879246,112625366;112273904;111719964;112472338;109831109
109733924,59061055;61813409;111916277;106394213;111087068
111891293,112273904;112625366;112472338;112368227;111916277
84168820,38871782;109224475;107499479;113084087;59061055
107716296,111916277;109988857;111131421;105465877;106657391
113084087,111719964;112625366;106394213;110215554;110879246
112273904,112472338;111891293;111916277;112625366;110879246
111077201,111496675;111719964;107499479;112472338;105994490
112625366,111719964;111891293;112273904;110879246;103412036
108470287,112525737;11975124;110879246;112343975;107497280
111374484,112368227;111950715;110294183;111374465;111935247
109792348,110141509;111916277;106657391;103170623;106410638
110215554,59061055;61813409;109831109;106660557;110954577
108256117,59061055;61813409;107524146;105444977;113682155
108940594,114079485;111496675;111935247;110294183;114081140
111087068,106657391;111793979;109733924;110294183;102696971
13171580,112273904;111950715;111916277;106394213;111131421
111237792,106394213;107524146;109733924;110954577;109831109
105021949,112472338;112525737;103412036;108458589;110879246
106804599,112525737;112586307;113682155;111374452;106158279
93256733,111237792;111916277;107524146;106394213;109733924
104826776,109013316;109013316;114079485;110294183;110422188
110141509,109792348;110954577;114293226;111087068;105994490
111924406,110954577;109013316;109013316;106231674;106410638
105942761,102361431;111891293;107497280;112273904;111131421
111853566,112193587;103170623;103412036;104544389;114293226
108303461,111087068;111793979;111950715;111496675;105016447
103518730,110954577;110294183;110422188;110422188;108440763
109013316,110954577;104826776;104826776;110294183;102697060
110422188,110294183;104826776;104826776;106720657;104544389
106843567,107497280;105016447;112193587;112445887;111374602
103318415,103267994;112445887;111926408;113809073;11132898
111374465,102696971;110422188;110422188;110294183;104544389
103267994,112368227;102696971;111496675;111924521;105994490
111916277,106394213;111891293;112273904;109733924;110954577
111820164,112273904;112625366;111916277;110879246;112525737
110306198,112625366;111891293;112273904;112472338;110966361
106660557,106657391;59061055;61813409;110215554;114293226
112376057,59061055;109831109;104544389;61813409;107497280
36984599,111237792;114081140;111374484;112586307;110814159
106657391,111087068;111719964;109013316;109013316;106660557
21158695,111496675;112273904;112472338;110879246;113809073
105465877,110580167;111916277;106394213;110954577;111131421
111926058,111793979;114293226;106394213;110294183;109831109
96240687,105463143;111926058;104636801;93943053;105994490
111924811,109013316;109013316;111926058;112273904;109831109
109582629,110294183;108747020;111087068;112368227;108440763
112368227,111891293;110966361;111374484;111924521;108188134
